City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
482,Salinas,US,36.6777,-121.6555,62.83,87,90,3.44,overcast clouds
483,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,88,75,9.44,broken clouds
484,Gazanjyk,TM,39.2446,55.5154,99.81,10,0,14.94,clear sky
485,Ixtapa,MX,20.7,-105.2,74.23,98,100,1.01,overcast clouds
486,Bumba,CD,2.1833,22.4667,91.26,43,76,4.07,broken clouds
487,Bushehr,IR,28.9684,50.8385,100.49,41,0,13.8,clear sky
488,Kruisfontein,ZA,-34.0033,24.7314,75.6,24,14,7.58,few clouds
489,Obo,CF,5.3998,26.4869,81.81,61,100,3.78,overcast clouds
490,Ternate,ID,0.8,127.4,82.22,78,82,5.88,broken clouds
491,Axim,GH,4.8699,-2.2405,80.58,72,63,8.34,light rain
492,Akureyri,IS,65.6835,-18.0878,53.53,76,0,0.0,clear sky
493,Tevriz,RU,57.509,72.4042,67.17,80,96,8.08,light rain
494,Muscat,OM,23.6139,58.5922,98.91,52,33,10.13,scattered clouds
495,Cayenne,GF,4.9333,-52.3333,77.09,90,0,0.0,clear sky
496,Port Hedland,AU,-20.3167,118.5667,75.25,57,21,14.97,few clouds
497,Ugoofaaru,MV,5.6667,73.0,82.71,75,93,10.83,overcast clouds
498,Pasighat,IN,28.0667,95.3333,83.84,89,46,3.78,scattered clouds
499,Krasnyy Luch,UA,48.1395,38.9371,85.73,42,29,4.68,scattered clouds
500,Burnie,AU,-41.0667,145.9167,50.94,94,100,10.4,light rain
501,Jumla,NP,29.2747,82.1838,72.23,80,99,3.83,overcast clouds
502,Camacha,PT,33.0833,-16.3333,72.36,78,40,14.97,scattered clouds
503,Wellington,NZ,-41.2866,174.7756,48.81,81,99,4.61,overcast clouds
504,Kaoma,ZM,-14.7833,24.8,75.47,23,20,11.74,few clouds
505,Catamarca,AR,-28.4696,-65.7852,47.77,57,0,1.59,clear sky
506,Komsomolskiy,UZ,40.4272,71.7189,94.42,21,23,6.91,few clouds
507,Boguchany,RU,58.3814,97.4531,75.34,42,100,1.12,overcast clouds
508,Tilichiki,RU,60.4667,166.1,49.51,59,55,5.26,broken clouds
509,Bambui,BR,-20.0064,-45.9769,45.28,73,2,3.31,clear sky
510,Bannu,PK,32.9854,70.6027,98.17,41,87,11.27,overcast clouds
511,Oktyabrskiy,RU,54.4815,53.471,88.32,34,71,18.72,broken clouds
512,Spring Valley,US,36.108,-115.245,88.99,44,75,10.36,broken clouds
513,Odesskoye,RU,54.2111,72.9651,81.46,39,24,13.11,few clouds
514,Natchitoches,US,31.7668,-93.1335,79.65,100,1,0.0,clear sky
515,Hyeres,FR,43.1167,6.1167,88.45,63,90,6.91,overcast clouds
516,Varnamo,SE,57.186,14.04,67.05,74,94,7.0,overcast clouds
517,Coquimbo,CL,-29.9533,-71.3436,46.13,100,90,6.91,overcast clouds
518,Trincomalee,LK,8.5711,81.2335,91.94,55,35,5.48,scattered clouds
519,Hobyo,SO,5.3505,48.5268,83.59,56,85,26.93,overcast clouds
520,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,16.11,scattered clouds
521,Port Hardy,CA,50.6996,-127.4199,55.58,100,90,2.3,mist
522,Lindi,TZ,-10.0,39.7167,89.02,38,7,8.46,clear sky
523,Bereda,ES,43.2686,-7.5406,63.0,75,52,4.38,broken clouds
524,Aklavik,CA,68.2191,-135.0107,63.43,77,27,3.87,scattered clouds
525,Pontal Do Parana,BR,-25.6533,-48.5128,46.72,82,100,3.06,overcast clouds
526,Ararat,AM,39.8317,44.7049,86.34,29,23,3.62,few clouds
527,Oltu,TR,40.5498,42.0013,83.14,37,45,6.26,scattered clouds
528,Galesong,ID,-5.3166,119.3661,84.22,76,17,14.76,few clouds
529,Buchanan,LR,5.8808,-10.0467,75.16,76,35,8.88,light rain
